ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score,,
FEMS DRYTEX BODY FIT 3X PROTECTION/1 NO,FEMS,HEMAS MARKETING,PLPCH,1 NO,,FEMS,HEMAS MARKETING,SACHET,1NO,| Target Itemdesc not found,FEMS ULTRA DRY COMFORT ON DRYTEX WINGS 1 NO,0.9344896190150276,,
FEMS COTTON FEEL WINGS BODY FIT 3X PROTECTION/1 NO,FEMS,HEMAS MARKETING,PLPCH,1 NO,,FEMS,HEMAS MARKETING,SACHET,1NO,| Target Itemdesc not found,NEW FEMS COTTON FEEL WINGS FIT TO BODY 1 NO,0.9461756965449438,,
DELZIAS/2.5/GM/PLBOT/MINI BALLS-01 NO,DELZIAS,FRESHVILLE SWEET (PVT) LTD,PLBOT,2.5GM,,DELZIAS,FRESH COW (PVT) LTD,,,| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,,,
PEARS/50/ML/PLBOT/RATHMAL BABY CREAM ,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT,50ML,,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT,50ML,| Target Itemdesc not found,PEARS BABY KOKUM BABY CREAM 50 ML PLBOT,0.9026510161849731,,
MUNCHEE  / 490 GM / PLPCH  / SUPER CREAM CRACKER  / SAVE 60,MUNCHEE. ,CEYLON BISCUITS LIMITED,PLPCH , 490 GM ,,,CEYLON BISCUITS LIMITED,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,,,
MALIBAN  / 490 GM  / PLPCH  / CREAM CRACKER FAMILY PACK /SAVE 60/=,MALIBAN ,MALIBAN BISCUIT MANUFACTORIES,PLPCH ,490 GM  ,,MALIBAN GEM,MALIBAN BISCUIT MANUFACTORIES,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,,,
PEARS/50/ML/PLBOT/RATHMAL BABY CREAM FOR SOOTHING SKIN ,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT ,50ML,,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT,50ML,| Target Itemdesc not found,PEARS BABY BED TIME BABY CREAM WITH MOISTURE CREAM 50 ML PLBOT,0.9229858353095356,,
SHEHARA/CAKE/EMPORIUM/600 GM/CDBOX,SHEHARA,NETHMI CONFECTIONERY,CDBOX,600 GM,,SHEHARA,NETHMI CONFECTIONERY,CDBOX,,| Target Packsize or UOM not found| Target Itemdesc not found,,,,
PRABODHI/60/GM/PLPCH/CURRY CHICKEN FLAVOUR,PRABODHI,PRABODHI FOOD PRODUCTS,PLPCH ,60GM ,,PRABODHI,LAKRASA FOOD PRODUCTS,PLPCH,60GM,| Target Itemdesc not found,PRABODHI CHICKEN FLAVOUR 60 GM,0.9331358443607063,,
CHANDANALEPA/75/GM/CDB/VENIVEL AYURVEDA SOAP ,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDB,75GM ,,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDBOX,75GM,| Target Itemdesc not found,CHANDANALEPA AYURVEDA SOAP 75 GM CDBOX,0.928781487014825,,
PEARS/100/ML/PBT/FLOWER FAIRY BABY COLOGNE/FREE/PEARS/50/ML/PBT/VENIVEL &TURMERIC BABY CREAM ,PEARS BABY,UNILEVER SRI LANKA LTD,PBT,100ML ,,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,PEARS BABY 100 ML PLBOT VENIVEL & TURMERIC BABY CREAM + SAVE RS 20,0.9325971013892516,,
"PEARS/100/ML/CDB/BEDTIME BABY COLOGNE REFRESHED SKIN,  IRRESISTIBLE BABY FRAGRANCE/FREE/PEARS/50/ML/PBT/BEDTIME BABY CREAM WITH MOISTURE CREAM ",PANDA BABY,NATURE'S BEAUTY CREATIONS LTD,PBT,100ML ,,PANDA BABY,NATURE'S BEAUTY CREATIONS LTD,PLBOT,100ML,| Target Itemdesc not found,NATURES SECRETS PANDA BABY CREAM OLIVE OIL 100 ML + FREE P.B SUMUDU BABY SOAP 75 GM ALMOND & OLIVE OIL,0.8980378378639818,,
RANI/65/GM/CDB/SANDALWOOD WITH LAVENDER ,RANI,SWADESHI INDUSTRIAL WORKS LTD,CDB,65GM ,,RANI,SWADESHI INDUSTRIAL WORKS LTD,CDBOX,65GM,| Target Itemdesc not found,RANI SANDALWOOD WITH JASMINE & VITAMIN E 65 GM CDBOX,0.9383688954711771,,
PRIMA/114/GM/PLPCH/KOTTU MEE/KOREAN RAMEN/FIERY CHEESE/INSTANT NOODLES ,PRIMA KOTTUMEE,CEYLON AGRO INDUSTRIES,PLPCH,114 GM,,PRIMA KOTTUMEE,CEYLON AGRO INDUSTRIES,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,,,
SOLA/500/ML/PLBOT/3 IN 1 LEMON & LIME FRESH TOILET CLEANER ,SOLA,SOLA CHEMICAL CO (PVT) LTD,PLBOT ,500ML,,SOLA,SOLA CHEMICAL CO (PVT) LTD,PLBOT,500ML,| Target Itemdesc not found,SOLA 3 IN 1 DISHWASH WITH TRICLOSAN 500 ML PLBOT,0.889972197124459,,
SACHIE/360/GM/PLPCH/CHOCOLATE MARIE BISCUITS ,SACHIE CHOCOLATE MARIE,SACHIE BISCUITS (PVT) LTD,PLPCH ,360GM,,SACHIE CHOCOLATE CREAM,SACHIE BISCUITS (PVT) LTD,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,,,
SACHIE/360/GM/PLPCH/MEGA MARIE BISCUITS ,SACHIE MEGA MARIE,SACHIE BISCUITS (PVT) LTD,PLPCH ,360GM,,SACHIE BUDDY MARIE,HANSINI DISTRIBUTER (PVT) LTD,PLPCH,360GM,| Target Itemdesc not found,SACHIE BUDDY MARI BISCUITS 360 GM PLPCH,0.8563246078212673,,
KIST/110/GM/PLPCH/TOMATO SAUCE BUDDY ,KIST,CARGILLS AGRIFOODS LTD,PLPCH ,110GM,,KIST,CARGILLS AGRIFOODS LTD,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,,,
SENSODYNE\75\GM\CDBOX\FRESH MINT WITH MINT FLOVOUR\SAVE RS 120,SENSODYNE,SMITH KLINE BEECHAM (PVT) LTD,CDBOX,75GM,,,MALINDU DAIRY (PVT) LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,,,
PUBUDU\500\GM\PLTUB\SET YOGHURT,PUBUDU,PUBUDU MILK PRODUCTS,PLTUB,500GM,,PUBUDU,PUBUDU MILK PRODUCTS,PLTUB,,| Target Packsize or UOM not found| Target Itemdesc not found,,,,
PRABODHI/60/GM/PLPCH/CHICKEN FLAVOUR,PRABODHI,PRABODHI FOOD PRODUCTS,PLPCH ,60GM ,,PRABODHI,PRAGATHI FOOD PRODUCTS,PLPCH,60GM,| Target Itemdesc not found,PRABODHI CHICKEN FLAVOUR 60 GM,0.958580926410708,,
SUNLIGHT/400(100G?4)/GM/EWREP/REAL LEMON POWER,SUNLIGHT,UNILEVER SRI LANKA LTD,EWREP ,400GM(100G?4),,SUNLIGHT,UNILEVER SRI LANKA LTD,EWRPK,,| Target Packsize or UOM not found| Target Itemdesc not found,,,,
CHANDANALEPA BABY/100/ML/PBT/MILK & HONEY CREAM/CHANDANALEPA BABY/70/GM/CDB/MILK & HONEY SOAP ,CHANDANALEPA BABY,SANJEEWAKA AYURVEDIC PRODUCTS,PBT,100ML ,,CHANDANALEPA BABY,SANJEEWAKA AYURVEDIC PRODUCTS,PLBOT,100ML,| Target Itemdesc not found,CHANDANALEPA BABY MILK & HONEY BABY CREAM 100 ML PLBOT,0.9212933250224239,,
LAKMEE/170/GM/PLPCH/MAYONNAISE,LAKMEE,LAKMEE EXPORTS,PLPCH ,170GM,,LAKMEE,LAKMEE EXPORTS,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,,,
PEARS/100/ML/PBT/FLOWER FAIRY BABY COLOGNE/FREE/PEARS/50/ML/PBT/VENIVEL &TURMERIC BABY CREAM ,PEARS BABY,UNILEVER SRI LANKA LTD,PBT,100ML ,,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,PEARS BABY 100 ML PLBOT VENIVEL & TURMERIC BABY CREAM + SAVE RS 20,0.9325971013892516,,
LIFEBUOY/80/ML/PBT/STRONG & THICK HEALTH SHAMPOO WITH RICE WATER PROTEIN + VITAMIN E/FREE/LIFEBUOY/75/GM/EWREP/MILD CARE WITH MILK PROTEIN ,LIFEBUOY,UNILEVER SRI LANKA LTD,PBT,80ML ,LIFEBUOY STRONG & THICK HEALTH SHAMPOO WITH MILK PROTEIN + ALMOND OIL 80 ML PLBOT + FREE LIFEBUOY TOTAL 10 WITH OLIVE OIL & HONEY ITHURUM PODDA 50 GM EWRPK,LIFEBUOY,UNILEVER SRI LANKA LTD,PLBOT,80.00 ML,,EMF,0.9726991161172743,,
LIFEBUOY/80/ML/PBT/AYURVEDA CARE HEALTH PANCHARATHNA SHAMPOO/FREE/LIFEBUOY/75/GM/EWREP/COOL FRESH WITH MENTHOL ,LIFEBUOY,UNILEVER SRI LANKA LTD,PBT,80ML ,LIFEBUOY AYURVEDA CARE PANCHARATNA SHAMPOO 80 ML PLBOT + FREE LIFEBUOY TOTAL 10 WITH OLIVE OIL & HONEY ITHURUM PODDA 50 GM EWRPK,LIFEBUOY,UNILEVER SRI LANKA LTD,PLBOT,80.00 ML,,EMF,0.9688906710443073,,
R.B/1/KG/PBT/SOYA CATERING SAUCE ,R.B,EPP LTD,PBT,1KG,,,EPP LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,,,
DOVE/180/ML/PBT/NUTRI SERUM HAIR FALL RESCUE NOURISHING SHAMPOO/FREE/DOVE/40/ML/PBT/NUTRITIVE SOLUTION INTENSE REPAIR CONDITIONER ,DOVE,UNILEVER SRI LANKA LTD,PBT,180ML ,DOVE NUTRITIVE SOLUTIONS HAIR FALL RESCUE CONDITIONER 180 ML PLBOT,DOVE,UNILEVER SRI LANKA LTD,PLBOT,180.00 ML,,EMF,0.9707674425681453,,
CHANDANALEPA/75/GM/CDB/KHOMBA AYURVEDA SOAP ,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDB,75GM ,,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDBOX,75GM,| Target Itemdesc not found,CHANDANALEPA CINNAMON AYURVEDA SOAP 75 GM CDBOX,0.9274849260379737,,
CLOSE UP/120/GM/CDB/EVERFRESH RED HOT ZINC FRESH TECHNOLOGY 18 HRS FRESH BREATH/SAVE RS.90/=,CLOSE UP,UNILEVER SRI LANKA LTD,CDB,120GM ,,CLOSE UP,UNILEVER SRI LANKA LTD,CDBOX,120GM,| Target Itemdesc not found,CLOSE UP EVERFRESH RED HOT TRIPLE FRESH FORMULA 120 GM CDBOX + SAVE RS 50,0.9483141030254251,,
PRABODHI/100/GM/PLPCH/TURMERIC POWDER ,PRABODHI,PRABODHI FOOD PRODUCTS,PLPCH ,100GM,,PRABODHI,LAKRASA PRODUCTS,PLPCH,100GM,| Target Itemdesc not found,PRABODHI CHILLI POWDER 100 GM PLPCH,0.9085917916571786,,
"FAIR & LOVELY IS NOW GLOW & LOVELY/50/GM/CDB/ADVANCED MULTI VITAMIN SERUM IN CREAM HD GLOW WITH VITAMINS B3, B6, C & E/FREE/SCRUNCHIES 2NO",FAIR & LOVELY ADVANCED MULTI VITAMIN,UNILEVER SRI LANKA LTD,CDB,50GM ,,FAIR & LOVELY ADVANCED MULTI VITAMIN,UNILEVER SRI LANKA LTD,CDBOX,50GM,| Target Itemdesc not found,FAIR & LOVELY (USL) IS NOW GLOW & LOVELY ADVANCED MULTI VITAMIN SERUM IN CREAM HD GLOW WITH VITAMINS B3-B6-C&E 50 GM CDBOX,0.9453088059428395,,
MALIBAN/490/G/PLPCH/FAMILY PACK CREAM CRACKER PRICE OFF 60,MALIBAN ,MALIBAN BISCUIT MANUFACTORIES,PLPCH ,490G,,MALIBAN GEM,MALIBAN BISCUIT MANUFACTORIES,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,,,
WONRICH/80/GM/PLCUP/STRAWBERRY FLAVOURED JELLY MIX,WONRICH,WONRICH DAIRY PVT LTD,PLCUP ,80GM ,,WONRICH,WONRICH DAIRY PVT LTD,PLCUP,80GM,| Target Itemdesc not found,WONRICH SET JELLY MIX DAIRY DESSERT PINEAPPLE FLAVOURED 80 GM PLCUP,0.9462776061235134,,
KIST/110/GM/PLPCH/SQUEEASYBUDY TOMOTO SAUCE,KIST,CARGILLS AGRIFOODS LTD,PLPCH,110GM,,KIST,KEELLS FOOD PRODUCTS LTD,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,,,
VIANA/BEAUTE/ENHANCE/MY FAIRNESS/DAY CREAM/SPF 20+/FOR ALL SKINS/30 ML/TUBE,VIANA,EURO COSMETICS MANUFACTURES,TUBE,30 ML,,VIANA,EURO COSMETICS MANUFACTURES,TUBE,,| Target Packsize or UOM not found| Target Itemdesc not found,,,,
PIYARA/SPECIAL/NOODLES/500 GM/PLPCH,PIYARA ,PIYARA FOOD PRODUCTS,PLPCH,500 GM,,,ISHANI FOOD PRODUCTS,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,,,
SUNLIGHT/1000/GM/CLEAN & CITRUS FRESH/PLPCH ,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH ,1000GM,,SUNLIGHT DETERGENT,UNILEVER SRI LANKA LTD,PLPCH,1000GM,| Target Itemdesc not found,SUNLIGHT 2 IN 1 CLEAN & LEMON FRESH 1000 GM,0.933657587267114,,
SUNLIGHT WITH REAL LEMON POWER LAUNDRY BAR (100*4) 400GM,SUNLIGHT  ,UNILEVER SRI LANKA LTD,EWRPK ,400GM,,SUNLIGHT,UNILEVER SRI LANKA LTD,EWRPK,,| Target Packsize or UOM not found| Target Itemdesc not found,,,,
